name,rating,votes,salary,sectors,location
RSPL Group,4.0,3.5k,10.1k,FMCG ,Kanpur
TVS Credit Services Ltd,4.1,3.5k,7.4k,NBFC ,Chennai
UBS,3.8,3.5k,32.5k,Financial Services ,Pune
IndusInd Nippon Life Insurance,3.3,3.5k,8.2k,Insurance ,Mumbai
ABB,4.0,3.5k,19.2k,Industrial Machinery ,Bengaluru
AGS Health,3.9,3.5k,15.3k,Analytics & KPO ,Chennai
Ceat Tyres,3.9,3.5k,13.1k,Auto Components ,Nagpur
Sagility,3.9,3.4k,13.7k,BPO ,Bengaluru
NatWest Group,3.9,3.4k,22.1k,Banking ,Gurugram
Ford Motor,4.2,3.4k,15.7k,Automobile ,Chennai
HARMAN,3.8,3.4k,24.3k,Consumer Electronics & Appliances ,Bengaluru
Alstom Transportation,3.7,3.4k,16.1k,Engineering & Construction ,Bengaluru
Croma,3.8,3.4k,9.9k,Retail ,Mumbai
Niva Bupa Health Insurance Company,4.0,3.4k,8.9k,Insurance ,New
InterGlobe Aviation,3.4,3.4k,13.9k,Aviation ,New
Conduent,3.4,3.4k,17.4k,BPO ,Bengaluru
Tata Technologies,3.4,3.3k,23.7k,Automobile ,Pune
Tata AIG,4.0,3.3k,12.2k,Insurance ,Mumbai
Indian Air Force,4.6,3.3k,5.3k,Defence & Aerospace ,New
GeBBS Healthcare Solutions,3.8,3.3k,11.5k,BPO ,Mumbai
Canara HSBC Life Insurance,4.1,3.3k,6.5k,Insurance ,Gurugram
Tata AutoComp Systems,3.7,3.3k,11.8k,Auto Components ,Pune
Jindal Stainless,4.1,3.3k,12.1k,Iron & Steel ,Jajpur
UPL,4.1,3.3k,11.3k,Agro Chemicals ,Ankleshwar
PepsiCo,4.0,3.3k,14.6k,Food Processing ,Hyderabad
Max Healthcare,4.0,3.3k,10.8k,Healthcare ,New
Ambuja Cements,3.9,3.2k,8.7k,Building Material ,Ahmedabad
Mankind Pharma,3.8,3.2k,10k,Pharma ,New
Titan Company,4.2,3.2k,10k,Retail ,Bengaluru
Amazon Transportation Services,4.2,3.2k,8.8k,Logistics ,Hyderabad
Allcargo Logistics,3.8,3.2k,6.9k,Logistics ,Mumbai
S&P Global,3.9,3.2k,21.4k,Analytics & KPO ,Hyderabad
Societe Generale Global Solution Centre,3.6,3.2k,23.8k,IT Services & Consulting ,Bengaluru
Dilip Buildcon,3.9,3.2k,8.1k,Engineering & Construction ,Bhopal
MSN Laboratories,3.6,3.2k,10k,Pharma ,Hyderabad
Tata Electronics,3.8,3.2k,13.6k,Semiconductors ,Hosur
Varroc Group,3.6,3.2k,9.8k,Auto Components ,Pune
Quest Global,3.5,3.2k,22.3k,IT Services & Consulting ,Bengaluru
Walmart,3.4,3.2k,25k,Retail ,Bengaluru
ESAF Small Finance Bank,3.6,3.2k,7.7k,Banking ,Thrissur
Ola Electric Mobility,3.3,3.2k,9.8k,Automobile ,Bengaluru
Afcons Infrastructure,4.2,3.2k,8.8k,Engineering & Construction ,Mumbai
IDFC FIRST Bharat,4.2,3.2k,5.2k,Financial Services ,Chennai
Torrent Pharmaceuticals,4.0,3.1k,10.4k,Pharma ,Ahmedabad
DS Group,4.0,3.1k,7.4k,FMCG ,Noida
Marpu Foundation,4.9,3.1k,61,Non-Profit ,Hyderabad
Zepto,3.6,3.1k,11.2k,Internet ,Bengaluru
Bharat Financial Inclusion,3.7,3.1k,5.7k,Financial Services ,Hyderabad
Tata Elxsi,3.4,3.1k,24.7k,IT Services & Consulting ,Bengaluru
Square Yards,3.5,3.1k,9.7k,Internet ,Gurugram
Zensar Technologies,3.6,3.1k,25.9k,IT Services & Consulting ,Pune
HDFC Sales,3.9,3.1k,8.3k,Financial Services ,Mumbai
Indus Towers,3.6,3.1k,9.5k,Telecom ,Gurugram
Suzlon Group,4.0,3.1k,8.2k,Power ,Pune
Eternal Limited,3.6,3.1k,15.7k,Internet ,Gurugram
Fujitsu,3.8,3k,17.9k,IT Services & Consulting ,Pune
I Process Services,3.8,3k,5.5k,Recruitment ,Mumbai
VVDN Technologies,3.6,3k,14.3k,IT Services & Consulting ,Gurugram
CMS IT Services,3.1,3k,9.2k,IT Services & Consulting ,Mumbai
Future Group,4.2,3k,6.2k,Retail ,Mumbai
ACC,3.9,3k,9.1k,Building Material ,Mumbai
IKS Health,3.5,3k,11.7k,BPO ,Mumbai
Yazaki,3.9,3k,9.4k,Auto Components ,Pune
Shree Cement,3.8,3k,10.2k,Building Material ,Beawar
Nokia,4.0,3k,17.5k,Telecom ,Bengaluru
Shoppers Stop,3.9,3k,7.1k,Retail ,Mumbai
Apollo Tyres,4.0,3k,10.1k,Auto Components ,Chennai
Fiserv,2.7,2.9k,17.7k,FinTech ,Pune
Physicswallah,3.6,2.9k,9.9k,EdTech ,Noida
Britannia,4.0,2.9k,8.5k,Hospitality ,Pune
Exl India,3.5,2.9k,18.9k,Logistics ,New
Landmark Group,3.8,2.9k,9.6k,Retail ,Bengaluru
Dalmia Bharat Cement,3.9,2.9k,5.9k,Building Material ,Guwahati
SRF,4.1,2.9k,9.3k,Chemicals ,Bharuch
SRF,4.1,2.9k,9.3k,Chemicals ,Bharuch
Kansai Nerolac Paints,3.8,2.8k,8.2k,Chemicals ,Mumbai
ZS,3.0,2.8k,22.4k,Management Consulting ,Pune
Blue Dart Express Ltd,3.9,2.8k,7.1k,Logistics ,Mumbai
Nestlé,3.7,2.8k,10.2k,FMCG ,Gurugram
Star Health & Allied Insurance,3.5,2.8k,10.7k,Insurance ,Chennai
Exide Industries,3.4,2.8k,9k,Electrical Equipment ,Kolkata
UnitedHealth,4.0,2.8k,13.4k,Healthcare ,Hyderabad
Shell,3.9,2.8k,14.4k,Oil & Gas ,Bengaluru
Micro Labs,3.6,2.8k,9.9k,Pharma ,Bengaluru
KPMG Global Services,3.4,2.8k,24.7k,Management Consulting ,Bengaluru
TVS Supply Chain Solutions,3.8,2.8k,8.7k,Logistics ,Chennai
Flex,3.9,2.8k,15.3k,Electronics Manufacturing ,Chennai
ElasticRun,3.6,2.7k,6.7k,Logistics ,Pune
Gallagher,3.6,2.7k,15k,Insurance ,Bengaluru
